"Date","Price","Open","High","Low","Vol.","Change %"
"13-09-2024","23,928.20","23,966.50","23,966.55","23,885.20","2.06B","0.09%"
"12-09-2024","23,907.35","23,680.00","23,934.60","23,593.60","2.37B","1.60%"
"11-09-2024","23,531.25","23,665.10","23,723.05","23,498.15","2.31B","-0.48%"
"10-09-2024","23,643.65","23,591.85","23,712.95","23,531.65","2.23B","0.60%"
"09-09-2024","23,502.15","23,452.85","23,526.55","23,294.45","2.36B","0.10%"
"06-09-2024","23,477.70","23,746.00","23,794.35","23,434.90","3.87B","-1.20%"
"05-09-2024","23,762.80","23,821.00","23,836.35","23,749.05","2.32B","0.06%"
"04-09-2024","23,748.90","23,611.80","23,761.40","23,605.35","2.06B","-0.17%"
"03-09-2024","23,788.45","23,817.00","23,817.55","23,771.20","1.81B","0.12%"
"02-09-2024","23,760.70","23,835.20","23,835.20","23,693.65","2.52B","0.11%"
"30-08-2024","23,734.55","23,728.55","23,766.40","23,673.95","7.02B","0.44%"
"29-08-2024","23,631.40","23,618.25","23,664.35","23,494.45","2.98B","0.07%"
"28-08-2024","23,615.95","23,646.80","23,679.35","23,547.25","2.45B","0.05%"
"27-08-2024","23,604.85","23,592.00","23,633.20","23,555.55","2.21B","0.18%"
"26-08-2024","23,561.75","23,514.30","23,579.75","23,466.75","2.00B","0.61%"
"23-08-2024","23,418.65","23,485.30","23,496.85","23,401.00","2.34B","-0.09%"
"22-08-2024","23,440.70","23,467.15","23,474.85","23,408.95","2.19B","0.31%"
"21-08-2024","23,368.65","23,283.75","23,383.20","23,256.25","2.23B","0.38%"
"20-08-2024","23,280.35","23,223.60","23,292.70","23,175.40","2.17B","0.61%"
"19-08-2024","23,139.75","23,174.20","23,195.60","23,104.10","2.13B","0.36%"
"16-08-2024","23,056.50","22,846.10","23,071.75","22,750.30","2.05B","1.69%"
"14-08-2024","22,672.65","22,765.65","22,778.95","22,599.95","2.36B","-0.15%"
"13-08-2024","22,705.80","22,952.70","22,962.75","22,684.45","2.76B","-0.92%"
"12-08-2024","22,915.85","22,862.90","22,993.25","22,753.75","2.53B","-0.03%"
"09-08-2024","22,923.50","22,948.15","22,982.45","22,869.40","2.11B","0.96%"
"08-08-2024","22,705.70","22,842.00","22,905.60","22,676.00","2.44B","-0.63%"
"07-08-2024","22,848.90","22,773.45","22,870.85","22,650.80","2.46B","1.81%"
"06-08-2024","22,443.30","22,696.95","22,910.75","22,406.05","2.70B","-0.44%"
"05-08-2024","22,542.45","22,772.55","22,868.35","22,397.70","4.02B","-3.08%"
"02-08-2024","23,259.45","23,296.10","23,395.10","23,225.65","3.09B","-1.05%"
"01-08-2024","23,506.60","23,608.85","23,637.75","23,429.55","2.92B","-0.10%"
"31-07-2024","23,530.80","23,495.85","23,556.00","23,459.60","3.21B","0.38%"
"30-07-2024","23,440.90","23,421.20","23,530.00","23,381.35","3.00B","0.20%"
"29-07-2024","23,394.20","23,423.15","23,496.40","23,326.05","3.61B","0.44%"
"26-07-2024","23,292.05","22,970.40","23,306.75","22,965.50","3.45B","1.64%"
"25-07-2024","22,917.25","22,753.20","22,938.65","22,732.20","3.44B","-0.02%"
"24-07-2024","22,921.45","22,856.85","22,965.45","22,816.75","3.15B","0.25%"
"23-07-2024","22,865.20","23,022.80","23,031.95","22,307.20","4.56B","-0.34%"
"22-07-2024","22,942.65","22,761.50","23,001.05","22,667.75","2.96B","0.39%"
"19-07-2024","22,853.60","23,232.50","23,232.50","22,833.00","3.02B","-1.54%"
"18-07-2024","23,210.05","23,167.65","23,233.85","22,993.55","3.56B","0.02%"
"16-07-2024","23,204.25","23,258.20","23,288.05","23,181.35","3.43B","-0.02%"
"15-07-2024","23,209.85","23,188.80","23,234.30","23,081.30","3.43B","0.50%"
"12-07-2024","23,095.45","23,086.25","23,189.40","23,021.40","3.54B","0.39%"
"11-07-2024","23,005.25","23,059.95","23,063.10","22,904.30","3.38B","0.12%"
"10-07-2024","22,977.65","23,124.15","23,125.30","22,685.65","3.30B","-0.39%"
"09-07-2024","23,067.35","23,035.05","23,082.35","22,974.95","3.26B","0.42%"
"08-07-2024","22,971.15","23,029.35","23,040.75","22,897.95","3.70B","-0.07%"
"05-07-2024","22,987.65","22,878.50","23,011.80","22,838.20","4.13B","0.32%"
"04-07-2024","22,914.20","22,937.60","22,962.80","22,866.70","3.07B","0.28%"
"03-07-2024","22,851.20","22,820.55","22,871.65","22,764.10","3.15B","0.76%"
"02-07-2024","22,677.80","22,806.30","22,810.65","22,592.20","2.90B","-0.22%"
"01-07-2024","22,727.60","22,580.40","22,739.70","22,570.40","2.75B","0.74%"
"28-06-2024","22,559.70","22,592.25","22,673.65","22,537.70","4.30B","0.10%"
